SDG_IND,Indicator,LOCATION,Country,TIME,Time,Value,Edu_expenditure(%),Edu_cor
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AFG,Afghanistan,1973,1973,1.09459,1.42788,
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AFG,Afghanistan,1974,1974,1.0226,#N/A,
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AFG,Afghanistan,1975,1975,1.11732,1.30332,
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AFG,Afghanistan,1976,1976,1.26757,#N/A,
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AFG,Afghanistan,1977,1977,1.40822,#N/A,
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AFG,Afghanistan,1978,1978,1.80833,#N/A,
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AFG,Afghanistan,1979,1979,1.94564,1.73981,
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AFG,Afghanistan,1982,1982,1.72288,1.72998,
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AFG,Afghanistan,1986,1986,2.1554,#N/A,
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AFG,Afghanistan,1987,1987,1.70774,#N/A,
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AFG,Afghanistan,1990,1990,2.21141,#N/A,
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AFG,Afghanistan,2003,2003,1.20234,#N/A,
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AFG,Afghanistan,2004,2004,1.19937,#N/A,
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AFG,Afghanistan,2009,2009,3.77498,#N/A,
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AFG,Afghanistan,2011,2011,3.62226,3.46201,
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AFG,Afghanistan,2014,2014,8.23068,3.69522,
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AFG,Afghanistan,2018,2018,9.68642,#N/A,
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",ARM,Armenia,2000,2000,31.49674,2.77273,
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",ARM,Armenia,2001,2001,28.78222,2.46944,
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",ARM,Armenia,2002,2002,30.88904,2.13504,
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",ARM,Armenia,2003,2003,32.38493,2.14504,
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",ARM,Armenia,2004,2004,31.27621,2.48673,
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",ARM,Armenia,2005,2005,32.84921,2.71203,
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",ARM,Armenia,2006,2006,36.92448,2.71577,
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",ARM,Armenia,2007,2007,39.71326,3.01894,
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",ARM,Armenia,2008,2008,42.19899,3.17273,
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",ARM,Armenia,2009,2009,45.72026,3.84079,
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",ARM,Armenia,2010,2010,47.59758,3.249,
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",ARM,Armenia,2011,2011,48.66689,3.14385,
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",ARM,Armenia,2012,2012,42.1852,2.77248,
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",ARM,Armenia,2013,2013,42.80576,2.65018,
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",ARM,Armenia,2014,2014,43.92737,2.24724,
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",ARM,Armenia,2015,2015,42.39126,2.80591,
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",ARM,Armenia,2016,2016,45.01602,2.75812,
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",ARM,Armenia,2017,2017,46.06831,2.70759,
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",ARM,Armenia,2018,2018,47.1191,#N/A,
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",ARM,Armenia,2019,2019,44.38237,#N/A,
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",ARM,Armenia,1986,1986,17.5996,#N/A,
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",ARM,Armenia,1988,1988,18.79871,#N/A,
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",ARM,Armenia,1989,1989,20.4359,#N/A,
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",ARM,Armenia,1990,1990,23.20482,#N/A,
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",ARM,Armenia,1991,1991,25.3567,#N/A,
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",ARM,Armenia,1992,1992,25.34212,#N/A,
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",ARM,Armenia,1993,1993,23.02764,#N/A,
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",ARM,Armenia,1994,1994,19.12431,#N/A,
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",ARM,Armenia,1995,1995,19.08214,#N/A,
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",ARM,Armenia,1996,1996,16.93857,1.84843,
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",ARM,Armenia,1997,1997,22.72023,#N/A,
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",ARM,Armenia,1998,1998,33.57358,#N/A,
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",ARM,Armenia,1999,1999,35.21241,2.23519,
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",ARM,Armenia,2000,2000,35.54979,2.77273,
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",ARM,Armenia,2001,2001,33.5453,2.46944,
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",ARM,Armenia,2002,2002,36.14686,2.13504,
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",ARM,Armenia,2003,2003,37.21888,2.14504,
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",ARM,Armenia,2004,2004,37.88314,2.48673,
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",ARM,Armenia,2005,2005,39.54677,2.71203,
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",ARM,Armenia,2006,2006,43.11535,2.71577,
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",ARM,Armenia,2007,2007,45.93094,3.01894,
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",ARM,Armenia,2008,2008,48.48933,3.17273,
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",ARM,Armenia,2009,2009,51.33459,3.84079,
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",ARM,Armenia,2010,2010,52.98915,3.249,
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",ARM,Armenia,2011,2011,53.33778,3.14385,
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",ARM,Armenia,2012,2012,46.15803,2.77248,
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",ARM,Armenia,2013,2013,45.73739,2.65018,
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",ARM,Armenia,2014,2014,47.08219,2.24724,
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",ARM,Armenia,2015,2015,46.5218,2.80591,
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",ARM,Armenia,2016,2016,51.08019,2.75812,
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",ARM,Armenia,2017,2017,52.25153,2.70759,
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",ARM,Armenia,2018,2018,54.57048,#N/A,
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",ARM,Armenia,2019,2019,51.48753,#N/A,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",ARM,Armenia,2000,2000,39.26693,2.77273,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",ARM,Armenia,2001,2001,37.97737,2.46944,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",ARM,Armenia,2002,2002,41.08533,2.13504,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",ARM,Armenia,2003,2003,41.79188,2.14504,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",ARM,Armenia,2004,2004,44.16987,2.48673,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",ARM,Armenia,2005,2005,45.95116,2.71203,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",ARM,Armenia,2006,2006,49.05389,2.71577,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",ARM,Armenia,2007,2007,51.87726,3.01894,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",ARM,Armenia,2008,2008,54.46075,3.17273,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",ARM,Armenia,2009,2009,56.61935,3.84079,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",ARM,Armenia,2010,2010,58.03413,3.249,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",ARM,Armenia,2011,2011,57.7082,3.14385,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",ARM,Armenia,2012,2012,49.85343,2.77248,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",ARM,Armenia,2013,2013,48.49313,2.65018,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",ARM,Armenia,2014,2014,50.08286,2.24724,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",ARM,Armenia,2015,2015,50.51742,2.80591,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",ARM,Armenia,2016,2016,57.11542,2.75812,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",ARM,Armenia,2017,2017,58.67676,2.70759,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",ARM,Armenia,2018,2018,62.64839,#N/A,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",ARM,Armenia,2019,2019,59.44847,#N/A,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",AZE,Azerbaijan,1981,1981,20.65334,#N/A,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",AZE,Azerbaijan,1986,1986,22.4855,#N/A,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",AZE,Azerbaijan,1991,1991,19.68337,#N/A,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",AZE,Azerbaijan,1992,1992,19.66094,6.05797,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",AZE,Azerbaijan,1993,1993,18.27538,#N/A,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",AZE,Azerbaijan,1994,1994,16.92038,#N/A,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",AZE,Azerbaijan,1995,1995,17.16923,3.33737,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",AZE,Azerbaijan,1996,1996,17.59162,3.51257,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",AZE,Azerbaijan,1997,1997,17.14862,#N/A,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",AZE,Azerbaijan,2006,2006,20.24594,2.55552,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",AZE,Azerbaijan,2007,2007,19.5503,2.54928,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",AZE,Azerbaijan,2008,2008,18.87043,2.44093,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",AZE,Azerbaijan,2009,2009,18.93108,3.22431,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",AZE,Azerbaijan,2010,2010,19.15638,2.78062,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",AZE,Azerbaijan,2011,2011,19.80818,2.43564,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",AZE,Azerbaijan,2012,2012,20.92553,2.06763,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",AZE,Azerbaijan,2013,2013,22.62382,2.44213,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",AZE,Azerbaijan,2014,2014,24.75323,2.63304,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",AZE,Azerbaijan,2015,2015,27.48078,2.95168,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",AZE,Azerbaijan,2016,2016,28.13302,2.90341,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",AZE,Azerbaijan,2017,2017,29.03385,2.47382,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",AZE,Azerbaijan,2018,2018,29.69345,2.45543,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",AZE,Azerbaijan,2019,2019,34.01358,#N/A,
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",AZE,Azerbaijan,1981,1981,27.26808,#N/A,
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",AZE,Azerbaijan,1986,1986,25.26985,#N/A,
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",AZE,Azerbaijan,1991,1991,29.71086,#N/A,
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",AZE,Azerbaijan,1992,1992,30.57924,6.05797,
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",AZE,Azerbaijan,1993,1993,25.99751,#N/A,
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",AZE,Azerbaijan,1994,1994,21.70233,#N/A,
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",AZE,Azerbaijan,1995,1995,19.5771,3.33737,
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",AZE,Azerbaijan,1996,1996,18.57389,3.51257,
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",AZE,Azerbaijan,1997,1997,18.0349,#N/A,
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",AZE,Azerbaijan,2006,2006,19.33599,2.55552,
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",AZE,Azerbaijan,2007,2007,19.17566,2.54928,
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",AZE,Azerbaijan,2008,2008,19.22743,2.44093,
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",AZE,Azerbaijan,2009,2009,19.1841,3.22431,
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",AZE,Azerbaijan,2010,2010,19.36225,2.78062,
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",AZE,Azerbaijan,2011,2011,19.49063,2.43564,
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",AZE,Azerbaijan,2012,2012,19.97292,2.06763,
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",AZE,Azerbaijan,2013,2013,20.32954,2.44213,
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",AZE,Azerbaijan,2014,2014,21.67637,2.63304,
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",AZE,Azerbaijan,2015,2015,23.64264,2.95168,
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",AZE,Azerbaijan,2016,2016,23.89231,2.90341,
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",AZE,Azerbaijan,2017,2017,25.27021,2.47382,
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",AZE,Azerbaijan,2018,2018,25.90973,2.45543,
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",AZE,Azerbaijan,2019,2019,29.31668,#N/A,
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AZE,Azerbaijan,1981,1981,24.03103,#N/A,
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AZE,Azerbaijan,1986,1986,23.87732,#N/A,
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AZE,Azerbaijan,1988,1988,25.20772,#N/A,
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AZE,Azerbaijan,1989,1989,24.48164,#N/A,
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AZE,Azerbaijan,1990,1990,24.19891,#N/A,
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AZE,Azerbaijan,1991,1991,24.75928,#N/A,
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AZE,Azerbaijan,1992,1992,25.23917,6.05797,
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AZE,Azerbaijan,1993,1993,22.22588,#N/A,
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AZE,Azerbaijan,1994,1994,19.355,#N/A,
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AZE,Azerbaijan,1995,1995,18.38257,3.33737,
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AZE,Azerbaijan,1996,1996,18.08035,3.51257,
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AZE,Azerbaijan,1997,1997,17.58492,#N/A,
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AZE,Azerbaijan,2006,2006,19.78946,2.55552,
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AZE,Azerbaijan,2007,2007,19.3646,2.54928,
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AZE,Azerbaijan,2008,2008,19.04789,2.44093,
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AZE,Azerbaijan,2009,2009,19.05771,3.22431,
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AZE,Azerbaijan,2010,2010,19.26004,2.78062,
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AZE,Azerbaijan,2011,2011,19.64731,2.43564,
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AZE,Azerbaijan,2012,2012,20.43846,2.06763,
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AZE,Azerbaijan,2013,2013,21.44043,2.44213,
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AZE,Azerbaijan,2014,2014,23.15973,2.63304,
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AZE,Azerbaijan,2015,2015,25.4832,2.95168,
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AZE,Azerbaijan,2016,2016,25.92642,2.90341,
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AZE,Azerbaijan,2017,2017,27.06741,2.47382,
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AZE,Azerbaijan,2018,2018,27.7085,2.45543,
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AZE,Azerbaijan,2019,2019,31.5402,#N/A,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",BHR,Bahrain,1971,1971,1.83654,#N/A,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",BHR,Bahrain,1972,1972,1.78822,#N/A,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",BHR,Bahrain,1973,1973,1.96059,#N/A,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",BHR,Bahrain,1974,1974,2.7299,#N/A,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",BHR,Bahrain,1975,1975,2.6765,#N/A,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",BHR,Bahrain,1976,1976,2.76556,#N/A,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",BHR,Bahrain,1977,1977,4.44736,#N/A,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",BHR,Bahrain,1978,1978,3.32903,#N/A,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",BHR,Bahrain,1979,1979,2.49649,#N/A,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",BHR,Bahrain,1980,1980,3.23173,#N/A,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",BHR,Bahrain,1981,1981,4.45553,#N/A,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",BHR,Bahrain,1982,1982,6.07492,#N/A,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",BHR,Bahrain,1985,1985,14.23268,#N/A,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",BHR,Bahrain,1986,1986,15.79649,#N/A,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",BHR,Bahrain,1987,1987,10.95316,#N/A,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",BHR,Bahrain,1988,1988,16.60669,#N/A,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",BHR,Bahrain,1991,1991,20.14646,#N/A,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",BHR,Bahrain,1992,1992,21.12297,#N/A,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",BHR,Bahrain,1993,1993,21.55945,#N/A,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",BHR,Bahrain,1994,1994,20.85112,#N/A,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",BHR,Bahrain,1995,1995,20.7599,#N/A,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",BHR,Bahrain,1996,1996,22.34491,#N/A,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",BHR,Bahrain,1999,1999,28.35757,#N/A,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",BHR,Bahrain,2003,2003,40.59675,#N/A,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",BHR,Bahrain,2005,2005,39.86463,#N/A,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",BHR,Bahrain,2006,2006,38.32186,2.87441,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",BHR,Bahrain,2011,2011,57.5012,#N/A,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",BHR,Bahrain,2012,2012,60.93734,2.64531,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",BHR,Bahrain,2013,2013,57.90605,2.47689,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",BHR,Bahrain,2014,2014,57.54474,2.46746,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",BHR,Bahrain,2015,2015,59.30616,2.66808,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",BHR,Bahrain,2016,2016,62.99215,#N/A,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",BHR,Bahrain,2017,2017,64.26851,2.32781,
