NATMON_IND,Indicator,LOCATION,Country,TIME,Time,Value,Flag Codes,Flags
XGDP_2T4_V_FSGOV,Government expenditure on secondary and post-secondary non-tertiary vocational education as a percentage of GDP (%),AFG,Afghanistan,2014,2014,0.13511,,
XGDP_2T4_V_FSGOV,Government expenditure on secondary and post-secondary non-tertiary vocational education as a percentage of GDP (%),AFG,Afghanistan,2015,2015,0.11498,,
XGDP_2T4_V_FSGOV,Government expenditure on secondary and post-secondary non-tertiary vocational education as a percentage of GDP (%),AFG,Afghanistan,2016,2016,0.1185,,
XGDP_2T4_V_FSGOV,Government expenditure on secondary and post-secondary non-tertiary vocational education as a percentage of GDP (%),AFG,Afghanistan,2017,2017,0.07151,,
XGDP_3_FSGOV,Government expenditure on upper secondary education as a percentage of GDP (%),AFG,Afghanistan,2010,2010,0.33948,,
XGDP_3_FSGOV,Government expenditure on upper secondary education as a percentage of GDP (%),AFG,Afghanistan,2011,2011,0.3369,,
XGDP_3_FSGOV,Government expenditure on upper secondary education as a percentage of GDP (%),AFG,Afghanistan,2012,2012,0.24172,,
XGDP_3_FSGOV,Government expenditure on upper secondary education as a percentage of GDP (%),AFG,Afghanistan,2013,2013,0.3255,,
XGDP_3_FSGOV,Government expenditure on upper secondary education as a percentage of GDP (%),AFG,Afghanistan,2014,2014,0.34295,,
XGDP_3_FSGOV,Government expenditure on upper secondary education as a percentage of GDP (%),AFG,Afghanistan,2015,2015,0.28985,,
XGDP_3_FSGOV,Government expenditure on upper secondary education as a percentage of GDP (%),AFG,Afghanistan,2016,2016,0.30715,,
XGDP_3_FSGOV,Government expenditure on upper secondary education as a percentage of GDP (%),AFG,Afghanistan,2017,2017,0.30039,,
XGDP_5T8_FSGOV,Government expenditure on tertiary education as a percentage of GDP (%),AFG,Afghanistan,1971,1971,0.27915,,
XGDP_5T8_FSGOV,Government expenditure on tertiary education as a percentage of GDP (%),AFG,Afghanistan,1972,1972,0.23295,,
XGDP_5T8_FSGOV,Government expenditure on tertiary education as a percentage of GDP (%),AFG,Afghanistan,1973,1973,0.29202,,
XGDP_5T8_FSGOV,Government expenditure on tertiary education as a percentage of GDP (%),AFG,Afghanistan,1975,1975,0.22268,,
XGDP_5T8_FSGOV,Government expenditure on tertiary education as a percentage of GDP (%),AFG,Afghanistan,1979,1979,0.41894,,
XGDP_5T8_FSGOV,Government expenditure on tertiary education as a percentage of GDP (%),AFG,Afghanistan,1980,1980,0.36025,,
XGDP_5T8_FSGOV,Government expenditure on tertiary education as a percentage of GDP (%),AFG,Afghanistan,1981,1981,0.39765,,
XGDP_5T8_FSGOV,Government expenditure on tertiary education as a percentage of GDP (%),AFG,Afghanistan,1982,1982,0.41803,,
XGDP_5T8_FSGOV,Government expenditure on tertiary education as a percentage of GDP (%),AFG,Afghanistan,2010,2010,0.31427,,
XGDP_5T8_FSGOV,Government expenditure on tertiary education as a percentage of GDP (%),AFG,Afghanistan,2011,2011,0.3111,,
XGDP_5T8_FSGOV,Government expenditure on tertiary education as a percentage of GDP (%),AFG,Afghanistan,2012,2012,0.33182,,
XGDP_5T8_FSGOV,Government expenditure on tertiary education as a percentage of GDP (%),AFG,Afghanistan,2013,2013,0.40614,,
XGDP_5T8_FSGOV,Government expenditure on tertiary education as a percentage of GDP (%),AFG,Afghanistan,2014,2014,0.45862,,
XGDP_5T8_FSGOV,Government expenditure on tertiary education as a percentage of GDP (%),AFG,Afghanistan,2015,2015,0.51942,,
XGDP_02_FSGOV,Government expenditure on pre-primary education as a percentage of GDP (%),AFG,Afghanistan,1971,1971,,n,Magnitude nil or negligible
XGDP_02_FSGOV,Government expenditure on pre-primary education as a percentage of GDP (%),AFG,Afghanistan,1975,1975,,n,Magnitude nil or negligible
XGDP_02_FSGOV,Government expenditure on pre-primary education as a percentage of GDP (%),AFG,Afghanistan,1979,1979,0.0164,,
XGDP_02_FSGOV,Government expenditure on pre-primary education as a percentage of GDP (%),AFG,Afghanistan,1980,1980,0.02917,,
XGDP_02_FSGOV,Government expenditure on pre-primary education as a percentage of GDP (%),AFG,Afghanistan,1981,1981,0.02912,,
XGDP_02_FSGOV,Government expenditure on pre-primary education as a percentage of GDP (%),AFG,Afghanistan,1982,1982,0.0289,,
XGDP_02_FSGOV,Government expenditure on pre-primary education as a percentage of GDP (%),AFG,Afghanistan,2010,2010,,n,Magnitude nil or negligible
XGDP_02_FSGOV,Government expenditure on pre-primary education as a percentage of GDP (%),AFG,Afghanistan,2011,2011,,n,Magnitude nil or negligible
XGDP_02_FSGOV,Government expenditure on pre-primary education as a percentage of GDP (%),AFG,Afghanistan,2012,2012,,n,Magnitude nil or negligible
XGDP_02_FSGOV,Government expenditure on pre-primary education as a percentage of GDP (%),AFG,Afghanistan,2013,2013,,n,Magnitude nil or negligible
XGDP_02_FSGOV,Government expenditure on pre-primary education as a percentage of GDP (%),AFG,Afghanistan,2015,2015,,n,Magnitude nil or negligible
XGDP_02_FSGOV,Government expenditure on pre-primary education as a percentage of GDP (%),AFG,Afghanistan,2016,2016,,n,Magnitude nil or negligible
XGDP_02_FSGOV,Government expenditure on pre-primary education as a percentage of GDP (%),AFG,Afghanistan,2017,2017,,n,Magnitude nil or negligible
XGDP_4_FSGOV,Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%),AFG,Afghanistan,2010,2010,0.07438,,
XGDP_4_FSGOV,Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%),AFG,Afghanistan,2011,2011,0.08359,,
XGDP_4_FSGOV,Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%),AFG,Afghanistan,2012,2012,0.07163,,
XGDP_4_FSGOV,Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%),AFG,Afghanistan,2013,2013,0.08484,,
XGDP_4_FSGOV,Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%),AFG,Afghanistan,2014,2014,0.11419,,
XGDP_4_FSGOV,Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%),AFG,Afghanistan,2015,2015,0.09749,,
XGDP_4_FSGOV,Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%),AFG,Afghanistan,2016,2016,0.12568,,
XGDP_4_FSGOV,Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%),AFG,Afghanistan,2017,2017,0.07717,,
XGDP_02_FSGOV,Government expenditure on pre-primary education as a percentage of GDP (%),ARM,Armenia,1996,1996,0.29854,,
XGDP_02_FSGOV,Government expenditure on pre-primary education as a percentage of GDP (%),ARM,Armenia,2008,2008,0.26705,,
XGDP_02_FSGOV,Government expenditure on pre-primary education as a percentage of GDP (%),ARM,Armenia,2009,2009,0.43421,,
XGDP_02_FSGOV,Government expenditure on pre-primary education as a percentage of GDP (%),ARM,Armenia,2011,2011,0.28306,,
XGDP_02_FSGOV,Government expenditure on pre-primary education as a percentage of GDP (%),ARM,Armenia,2012,2012,0.28092,,
XGDP_02_FSGOV,Government expenditure on pre-primary education as a percentage of GDP (%),ARM,Armenia,2013,2013,0.2903,,
XGDP_02_FSGOV,Government expenditure on pre-primary education as a percentage of GDP (%),ARM,Armenia,2015,2015,0.33001,,
XGDP_02_FSGOV,Government expenditure on pre-primary education as a percentage of GDP (%),ARM,Armenia,2016,2016,0.3286,,
XGDP_02_FSGOV,Government expenditure on pre-primary education as a percentage of GDP (%),ARM,Armenia,2017,2017,0.32483,,
XGDP_2_FSGOV,Government expenditure on lower secondary education as a percentage of GDP (%),ARM,Armenia,2012,2012,0.7156,,
XGDP_2_FSGOV,Government expenditure on lower secondary education as a percentage of GDP (%),ARM,Armenia,2013,2013,0.67211,,
XGDP_2_FSGOV,Government expenditure on lower secondary education as a percentage of GDP (%),ARM,Armenia,2014,2014,0.52282,,
XGDP_2_FSGOV,Government expenditure on lower secondary education as a percentage of GDP (%),ARM,Armenia,2015,2015,0.71575,,
XGDP_2_FSGOV,Government expenditure on lower secondary education as a percentage of GDP (%),ARM,Armenia,2016,2016,0.77381,,
XGDP_2_FSGOV,Government expenditure on lower secondary education as a percentage of GDP (%),ARM,Armenia,2017,2017,0.71175,,
XGDP_2T3_FSGOV,Government expenditure on secondary education as a percentage of GDP (%),ARM,Armenia,2012,2012,1.40429,,
XGDP_2T3_FSGOV,Government expenditure on secondary education as a percentage of GDP (%),ARM,Armenia,2013,2013,1.29543,,
XGDP_2T3_FSGOV,Government expenditure on secondary education as a percentage of GDP (%),ARM,Armenia,2014,2014,1.22389,,
XGDP_2T3_FSGOV,Government expenditure on secondary education as a percentage of GDP (%),ARM,Armenia,2016,2016,1.40869,,
XGDP_2T3_FSGOV,Government expenditure on secondary education as a percentage of GDP (%),ARM,Armenia,2017,2017,1.26913,,
XGDP_2T4_V_FSGOV,Government expenditure on secondary and post-secondary non-tertiary vocational education as a percentage of GDP (%),ARM,Armenia,2012,2012,0.04648,,
XGDP_2T4_V_FSGOV,Government expenditure on secondary and post-secondary non-tertiary vocational education as a percentage of GDP (%),ARM,Armenia,2013,2013,0.1401,,
XGDP_2T4_V_FSGOV,Government expenditure on secondary and post-secondary non-tertiary vocational education as a percentage of GDP (%),ARM,Armenia,2014,2014,0.07919,,
XGDP_2T4_V_FSGOV,Government expenditure on secondary and post-secondary non-tertiary vocational education as a percentage of GDP (%),ARM,Armenia,2015,2015,0.05333,,
XGDP_2T4_V_FSGOV,Government expenditure on secondary and post-secondary non-tertiary vocational education as a percentage of GDP (%),ARM,Armenia,2016,2016,0.04934,,
XGDP_2T4_V_FSGOV,Government expenditure on secondary and post-secondary non-tertiary vocational education as a percentage of GDP (%),ARM,Armenia,2017,2017,0.0508,,
XGDP_FSGOV,Government expenditure on education as a percentage of GDP (%),ARM,Armenia,1996,1996,1.84843,,
XGDP_FSGOV,Government expenditure on education as a percentage of GDP (%),ARM,Armenia,1999,1999,2.23519,,
XGDP_FSGOV,Government expenditure on education as a percentage of GDP (%),ARM,Armenia,2000,2000,2.77273,,
XGDP_FSGOV,Government expenditure on education as a percentage of GDP (%),ARM,Armenia,2001,2001,2.46944,,
XGDP_FSGOV,Government expenditure on education as a percentage of GDP (%),ARM,Armenia,2002,2002,2.13504,,
XGDP_FSGOV,Government expenditure on education as a percentage of GDP (%),ARM,Armenia,2003,2003,2.14504,,
XGDP_FSGOV,Government expenditure on education as a percentage of GDP (%),ARM,Armenia,2004,2004,2.48673,,
XGDP_FSGOV,Government expenditure on education as a percentage of GDP (%),ARM,Armenia,2005,2005,2.71203,,
XGDP_FSGOV,Government expenditure on education as a percentage of GDP (%),ARM,Armenia,2006,2006,2.71577,,
XGDP_FSGOV,Government expenditure on education as a percentage of GDP (%),ARM,Armenia,2007,2007,3.01894,,
XGDP_FSGOV,Government expenditure on education as a percentage of GDP (%),ARM,Armenia,2008,2008,3.17273,,
XGDP_FSGOV,Government expenditure on education as a percentage of GDP (%),ARM,Armenia,2009,2009,3.84079,,
XGDP_FSGOV,Government expenditure on education as a percentage of GDP (%),ARM,Armenia,2010,2010,3.249,,
XGDP_FSGOV,Government expenditure on education as a percentage of GDP (%),ARM,Armenia,2011,2011,3.14385,,
XGDP_FSGOV,Government expenditure on education as a percentage of GDP (%),ARM,Armenia,2012,2012,2.77248,,
XGDP_FSGOV,Government expenditure on education as a percentage of GDP (%),ARM,Armenia,2013,2013,2.65018,,
XGDP_FSGOV,Government expenditure on education as a percentage of GDP (%),ARM,Armenia,2014,2014,2.24724,,
XGDP_FSGOV,Government expenditure on education as a percentage of GDP (%),ARM,Armenia,2015,2015,2.80591,,
XGDP_FSGOV,Government expenditure on education as a percentage of GDP (%),ARM,Armenia,2016,2016,2.75812,,
XGDP_FSGOV,Government expenditure on education as a percentage of GDP (%),ARM,Armenia,2017,2017,2.70759,,
XGDP_1_FSGOV,Government expenditure on primary education as a percentage of GDP (%),ARM,Armenia,2012,2012,0.51784,,
XGDP_1_FSGOV,Government expenditure on primary education as a percentage of GDP (%),ARM,Armenia,2013,2013,0.53297,,
XGDP_1_FSGOV,Government expenditure on primary education as a percentage of GDP (%),ARM,Armenia,2015,2015,0.5432,,
XGDP_1_FSGOV,Government expenditure on primary education as a percentage of GDP (%),ARM,Armenia,2016,2016,0.56999,,
XGDP_1_FSGOV,Government expenditure on primary education as a percentage of GDP (%),ARM,Armenia,2017,2017,0.52456,,
XGDP_3_FSGOV,Government expenditure on upper secondary education as a percentage of GDP (%),ARM,Armenia,2012,2012,0.68869,,
XGDP_3_FSGOV,Government expenditure on upper secondary education as a percentage of GDP (%),ARM,Armenia,2013,2013,0.62332,,
XGDP_3_FSGOV,Government expenditure on upper secondary education as a percentage of GDP (%),ARM,Armenia,2014,2014,0.70107,,
XGDP_3_FSGOV,Government expenditure on upper secondary education as a percentage of GDP (%),ARM,Armenia,2016,2016,0.63488,,
XGDP_3_FSGOV,Government expenditure on upper secondary education as a percentage of GDP (%),ARM,Armenia,2017,2017,0.55738,,
XGDP_4_FSGOV,Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%),ARM,Armenia,2008,2008,,a,Category not applicable
XGDP_4_FSGOV,Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%),ARM,Armenia,2009,2009,,a,Category not applicable
XGDP_4_FSGOV,Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%),ARM,Armenia,2010,2010,,a,Category not applicable
XGDP_4_FSGOV,Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%),ARM,Armenia,2011,2011,,a,Category not applicable
XGDP_4_FSGOV,Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%),ARM,Armenia,2012,2012,,a,Category not applicable
XGDP_4_FSGOV,Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%),ARM,Armenia,2013,2013,,a,Category not applicable
XGDP_4_FSGOV,Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%),ARM,Armenia,2014,2014,,a,Category not applicable
XGDP_4_FSGOV,Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%),ARM,Armenia,2015,2015,,a,Category not applicable
XGDP_4_FSGOV,Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%),ARM,Armenia,2016,2016,,a,Category not applicable
XGDP_4_FSGOV,Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%),ARM,Armenia,2017,2017,,a,Category not applicable
XGDP_5T8_FSGOV,Government expenditure on tertiary education as a percentage of GDP (%),ARM,Armenia,1996,1996,0.27631,,
XGDP_5T8_FSGOV,Government expenditure on tertiary education as a percentage of GDP (%),ARM,Armenia,2008,2008,0.35828,,
XGDP_5T8_FSGOV,Government expenditure on tertiary education as a percentage of GDP (%),ARM,Armenia,2009,2009,0.35954,,
XGDP_5T8_FSGOV,Government expenditure on tertiary education as a percentage of GDP (%),ARM,Armenia,2010,2010,0.37864,,
XGDP_5T8_FSGOV,Government expenditure on tertiary education as a percentage of GDP (%),ARM,Armenia,2011,2011,0.355,,
XGDP_5T8_FSGOV,Government expenditure on tertiary education as a percentage of GDP (%),ARM,Armenia,2012,2012,0.26317,,
XGDP_5T8_FSGOV,Government expenditure on tertiary education as a percentage of GDP (%),ARM,Armenia,2013,2013,0.27344,,
XGDP_5T8_FSGOV,Government expenditure on tertiary education as a percentage of GDP (%),ARM,Armenia,2014,2014,0.30613,,
XGDP_5T8_FSGOV,Government expenditure on tertiary education as a percentage of GDP (%),ARM,Armenia,2015,2015,0.35604,,
XGDP_5T8_FSGOV,Government expenditure on tertiary education as a percentage of GDP (%),ARM,Armenia,2016,2016,0.36363,,
XGDP_5T8_FSGOV,Government expenditure on tertiary education as a percentage of GDP (%),ARM,Armenia,2017,2017,0.35178,,
XGDP_FSGOV,Government expenditure on education as a percentage of GDP (%),AZE,Azerbaijan,1992,1992,6.05797,,
XGDP_FSGOV,Government expenditure on education as a percentage of GDP (%),AZE,Azerbaijan,1995,1995,3.33737,,
XGDP_FSGOV,Government expenditure on education as a percentage of GDP (%),AZE,Azerbaijan,1996,1996,3.51257,,
XGDP_FSGOV,Government expenditure on education as a percentage of GDP (%),AZE,Azerbaijan,1998,1998,3.38002,,
XGDP_FSGOV,Government expenditure on education as a percentage of GDP (%),AZE,Azerbaijan,1999,1999,4.21214,,
XGDP_FSGOV,Government expenditure on education as a percentage of GDP (%),AZE,Azerbaijan,2000,2000,3.85399,,
XGDP_FSGOV,Government expenditure on education as a percentage of GDP (%),AZE,Azerbaijan,2001,2001,3.50342,,
XGDP_FSGOV,Government expenditure on education as a percentage of GDP (%),AZE,Azerbaijan,2002,2002,3.15446,,
XGDP_FSGOV,Government expenditure on education as a percentage of GDP (%),AZE,Azerbaijan,2003,2003,3.28615,,
XGDP_FSGOV,Government expenditure on education as a percentage of GDP (%),AZE,Azerbaijan,2004,2004,3.4477,,
XGDP_FSGOV,Government expenditure on education as a percentage of GDP (%),AZE,Azerbaijan,2005,2005,2.97462,,
XGDP_FSGOV,Government expenditure on education as a percentage of GDP (%),AZE,Azerbaijan,2006,2006,2.55552,,
XGDP_FSGOV,Government expenditure on education as a percentage of GDP (%),AZE,Azerbaijan,2007,2007,2.54928,,
XGDP_FSGOV,Government expenditure on education as a percentage of GDP (%),AZE,Azerbaijan,2008,2008,2.44093,,
XGDP_FSGOV,Government expenditure on education as a percentage of GDP (%),AZE,Azerbaijan,2009,2009,3.22431,,
XGDP_FSGOV,Government expenditure on education as a percentage of GDP (%),AZE,Azerbaijan,2010,2010,2.78062,,
XGDP_FSGOV,Government expenditure on education as a percentage of GDP (%),AZE,Azerbaijan,2011,2011,2.43564,,
XGDP_FSGOV,Government expenditure on education as a percentage of GDP (%),AZE,Azerbaijan,2012,2012,2.06763,,
XGDP_FSGOV,Government expenditure on education as a percentage of GDP (%),AZE,Azerbaijan,2013,2013,2.44213,,
XGDP_FSGOV,Government expenditure on education as a percentage of GDP (%),AZE,Azerbaijan,2014,2014,2.63304,,
XGDP_FSGOV,Government expenditure on education as a percentage of GDP (%),AZE,Azerbaijan,2015,2015,2.95168,,
XGDP_FSGOV,Government expenditure on education as a percentage of GDP (%),AZE,Azerbaijan,2016,2016,2.90341,,
XGDP_FSGOV,Government expenditure on education as a percentage of GDP (%),AZE,Azerbaijan,2017,2017,2.47382,,
XGDP_FSGOV,Government expenditure on education as a percentage of GDP (%),AZE,Azerbaijan,2018,2018,2.45543,,
XGDP_4_FSGOV,Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%),AZE,Azerbaijan,1998,1998,0.08652,,
XGDP_4_FSGOV,Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%),AZE,Azerbaijan,1999,1999,0.21609,,
XGDP_4_FSGOV,Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%),AZE,Azerbaijan,2000,2000,0.08617,,
XGDP_4_FSGOV,Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%),AZE,Azerbaijan,2001,2001,0.08133,,
XGDP_4_FSGOV,Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%),AZE,Azerbaijan,2002,2002,0.08004,,
XGDP_4_FSGOV,Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%),AZE,Azerbaijan,2003,2003,0.14869,,
XGDP_4_FSGOV,Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%),AZE,Azerbaijan,2004,2004,0.15175,,
XGDP_4_FSGOV,Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%),AZE,Azerbaijan,2005,2005,0.13726,,
XGDP_4_FSGOV,Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%),AZE,Azerbaijan,2006,2006,0.11896,,
XGDP_4_FSGOV,Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%),AZE,Azerbaijan,2007,2007,0.1317,,
XGDP_4_FSGOV,Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%),AZE,Azerbaijan,2008,2008,,n,Magnitude nil or negligible
XGDP_4_FSGOV,Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%),AZE,Azerbaijan,2018,2018,0.05237,,
XGDP_02_FSGOV,Government expenditure on pre-primary education as a percentage of GDP (%),AZE,Azerbaijan,1992,1992,0.8506,,
XGDP_02_FSGOV,Government expenditure on pre-primary education as a percentage of GDP (%),AZE,Azerbaijan,1995,1995,0.63238,,
XGDP_02_FSGOV,Government expenditure on pre-primary education as a percentage of GDP (%),AZE,Azerbaijan,1996,1996,0.55569,,
XGDP_02_FSGOV,Government expenditure on pre-primary education as a percentage of GDP (%),AZE,Azerbaijan,1998,1998,0.31422,,
XGDP_02_FSGOV,Government expenditure on pre-primary education as a percentage of GDP (%),AZE,Azerbaijan,1999,1999,0.36243,,
XGDP_02_FSGOV,Government expenditure on pre-primary education as a percentage of GDP (%),AZE,Azerbaijan,2000,2000,0.29675,,
XGDP_02_FSGOV,Government expenditure on pre-primary education as a percentage of GDP (%),AZE,Azerbaijan,2001,2001,0.28577,,
XGDP_02_FSGOV,Government expenditure on pre-primary education as a percentage of GDP (%),AZE,Azerbaijan,2002,2002,0.2554,,
