SDG_IND,Indicator,LOCATION,Country,TIME,Time,Value
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",ARM,Armenia,2004,2004,31.27621
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",ARM,Armenia,2005,2005,32.84921
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",ARM,Armenia,2006,2006,36.92448
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",ARM,Armenia,2007,2007,39.71326
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",ARM,Armenia,2008,2008,42.19899
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",ARM,Armenia,2009,2009,45.72026
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",ARM,Armenia,2010,2010,47.59758
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",ARM,Armenia,2011,2011,48.66689
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",ARM,Armenia,2012,2012,42.1852
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",ARM,Armenia,2013,2013,42.80576
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",ARM,Armenia,2014,2014,43.92737
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",ARM,Armenia,2015,2015,42.39126
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",ARM,Armenia,2016,2016,45.01602
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",ARM,Armenia,2017,2017,46.06831
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",ARM,Armenia,2018,2018,47.1191
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",ARM,Armenia,2019,2019,44.38237
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",ARM,Armenia,1986,1986,17.5996
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",ARM,Armenia,1988,1988,18.79871
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",ARM,Armenia,1989,1989,20.4359
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",ARM,Armenia,1990,1990,23.20482
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",ARM,Armenia,1991,1991,25.3567
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",ARM,Armenia,1992,1992,25.34212
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",ARM,Armenia,1993,1993,23.02764
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",ARM,Armenia,1994,1994,19.12431
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",ARM,Armenia,1995,1995,19.08214
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",ARM,Armenia,1996,1996,16.93857
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",ARM,Armenia,1997,1997,22.72023
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",ARM,Armenia,1998,1998,33.57358
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",ARM,Armenia,1999,1999,35.21241
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",ARM,Armenia,2000,2000,35.54979
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",ARM,Armenia,2001,2001,33.5453
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",ARM,Armenia,2002,2002,36.14686
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",ARM,Armenia,2003,2003,37.21888
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",ARM,Armenia,2004,2004,37.88314
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",ARM,Armenia,2005,2005,39.54677
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",ARM,Armenia,2006,2006,43.11535
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",ARM,Armenia,2007,2007,45.93094
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",ARM,Armenia,2008,2008,48.48933
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",ARM,Armenia,2009,2009,51.33459
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",ARM,Armenia,2010,2010,52.98915
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",ARM,Armenia,2011,2011,53.33778
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",ARM,Armenia,2012,2012,46.15803
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",ARM,Armenia,2013,2013,45.73739
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",ARM,Armenia,2014,2014,47.08219
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",ARM,Armenia,2015,2015,46.5218
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",ARM,Armenia,2016,2016,51.08019
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",ARM,Armenia,2017,2017,52.25153
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",ARM,Armenia,2018,2018,54.57048
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",ARM,Armenia,2019,2019,51.48753
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",ARM,Armenia,2000,2000,39.26693
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",ARM,Armenia,2001,2001,37.97737
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",ARM,Armenia,2002,2002,41.08533
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",ARM,Armenia,2003,2003,41.79188
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",ARM,Armenia,2004,2004,44.16987
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",ARM,Armenia,2005,2005,45.95116
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",ARM,Armenia,2006,2006,49.05389
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",ARM,Armenia,2007,2007,51.87726
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",ARM,Armenia,2008,2008,54.46075
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",ARM,Armenia,2009,2009,56.61935
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",ARM,Armenia,2010,2010,58.03413
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",ARM,Armenia,2011,2011,57.7082
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",ARM,Armenia,2012,2012,49.85343
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",ARM,Armenia,2013,2013,48.49313
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",ARM,Armenia,2014,2014,50.08286
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",ARM,Armenia,2015,2015,50.51742
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",ARM,Armenia,2016,2016,57.11542
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",ARM,Armenia,2017,2017,58.67676
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",ARM,Armenia,2018,2018,62.64839
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",ARM,Armenia,2019,2019,59.44847
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",AZE,Azerbaijan,1981,1981,20.65334
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",AZE,Azerbaijan,1986,1986,22.4855
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",AZE,Azerbaijan,1991,1991,19.68337
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",AZE,Azerbaijan,1992,1992,19.66094
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",AZE,Azerbaijan,1993,1993,18.27538
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",AZE,Azerbaijan,1994,1994,16.92038
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",AZE,Azerbaijan,1995,1995,17.16923
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",AZE,Azerbaijan,1996,1996,17.59162
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",AZE,Azerbaijan,1997,1997,17.14862
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",AZE,Azerbaijan,2006,2006,20.24594
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",AZE,Azerbaijan,2007,2007,19.5503
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",AZE,Azerbaijan,2008,2008,18.87043
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",AZE,Azerbaijan,2009,2009,18.93108
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",AZE,Azerbaijan,2010,2010,19.15638
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",AZE,Azerbaijan,2011,2011,19.80818
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",AZE,Azerbaijan,2012,2012,20.92553
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",AZE,Azerbaijan,2013,2013,22.62382
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",AZE,Azerbaijan,2014,2014,24.75323
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",AZE,Azerbaijan,2015,2015,27.48078
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",AZE,Azerbaijan,2016,2016,28.13302
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",AZE,Azerbaijan,2017,2017,29.03385
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",AZE,Azerbaijan,2018,2018,29.69345
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",AZE,Azerbaijan,2019,2019,34.01358
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",AZE,Azerbaijan,1981,1981,27.26808
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",AZE,Azerbaijan,1986,1986,25.26985
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",AZE,Azerbaijan,1991,1991,29.71086
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",AZE,Azerbaijan,1992,1992,30.57924
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",AZE,Azerbaijan,1993,1993,25.99751
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",AZE,Azerbaijan,1994,1994,21.70233
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",AZE,Azerbaijan,1995,1995,19.5771
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",AZE,Azerbaijan,1996,1996,18.57389
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",AZE,Azerbaijan,1997,1997,18.0349
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",AZE,Azerbaijan,2006,2006,19.33599
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",AZE,Azerbaijan,2007,2007,19.17566
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",AZE,Azerbaijan,2008,2008,19.22743
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",AZE,Azerbaijan,2009,2009,19.1841
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",AZE,Azerbaijan,2010,2010,19.36225
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",AZE,Azerbaijan,2011,2011,19.49063
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",AZE,Azerbaijan,2012,2012,19.97292
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",AZE,Azerbaijan,2013,2013,20.32954
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",AZE,Azerbaijan,2014,2014,21.67637
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",AZE,Azerbaijan,2015,2015,23.64264
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",AZE,Azerbaijan,2016,2016,23.89231
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",AZE,Azerbaijan,2017,2017,25.27021
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",AZE,Azerbaijan,2018,2018,25.90973
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",AZE,Azerbaijan,2019,2019,29.31668
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AZE,Azerbaijan,1981,1981,24.03103
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AZE,Azerbaijan,1986,1986,23.87732
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AZE,Azerbaijan,1988,1988,25.20772
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AZE,Azerbaijan,1989,1989,24.48164
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AZE,Azerbaijan,1990,1990,24.19891
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AZE,Azerbaijan,1991,1991,24.75928
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AZE,Azerbaijan,1992,1992,25.23917
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AZE,Azerbaijan,1993,1993,22.22588
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AZE,Azerbaijan,1994,1994,19.355
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AZE,Azerbaijan,1995,1995,18.38257
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AZE,Azerbaijan,1996,1996,18.08035
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AZE,Azerbaijan,1997,1997,17.58492
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AZE,Azerbaijan,2006,2006,19.78946
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AZE,Azerbaijan,2007,2007,19.3646
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AZE,Azerbaijan,2008,2008,19.04789
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AZE,Azerbaijan,2009,2009,19.05771
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AZE,Azerbaijan,2010,2010,19.26004
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AZE,Azerbaijan,2011,2011,19.64731
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AZE,Azerbaijan,2012,2012,20.43846
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AZE,Azerbaijan,2013,2013,21.44043
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AZE,Azerbaijan,2014,2014,23.15973
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AZE,Azerbaijan,2015,2015,25.4832
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AZE,Azerbaijan,2016,2016,25.92642
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AZE,Azerbaijan,2017,2017,27.06741
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AZE,Azerbaijan,2018,2018,27.7085
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AZE,Azerbaijan,2019,2019,31.5402
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",BHR,Bahrain,1971,1971,1.83654
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",BHR,Bahrain,1972,1972,1.78822
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",BHR,Bahrain,1973,1973,1.96059
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",BHR,Bahrain,1974,1974,2.7299
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",BHR,Bahrain,1975,1975,2.6765
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",BHR,Bahrain,1976,1976,2.76556
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",BHR,Bahrain,1977,1977,4.44736
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",BHR,Bahrain,1978,1978,3.32903
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",BHR,Bahrain,1979,1979,2.49649
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",BHR,Bahrain,1980,1980,3.23173
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",BHR,Bahrain,1981,1981,4.45553
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",BHR,Bahrain,1982,1982,6.07492
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",BHR,Bahrain,1985,1985,14.23268
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",BHR,Bahrain,1986,1986,15.79649
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",BHR,Bahrain,1987,1987,10.95316
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",BHR,Bahrain,1988,1988,16.60669
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",BHR,Bahrain,1991,1991,20.14646
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",BHR,Bahrain,1992,1992,21.12297
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",BHR,Bahrain,1993,1993,21.55945
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",BHR,Bahrain,1994,1994,20.85112
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",BHR,Bahrain,1995,1995,20.7599
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",BHR,Bahrain,1996,1996,22.34491
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",BHR,Bahrain,1999,1999,28.35757
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",BHR,Bahrain,2003,2003,40.59675
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",BHR,Bahrain,2005,2005,39.86463
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",BHR,Bahrain,2006,2006,38.32186
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",BHR,Bahrain,2011,2011,57.5012
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",BHR,Bahrain,2012,2012,60.93734
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",BHR,Bahrain,2013,2013,57.90605
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",BHR,Bahrain,2014,2014,57.54474
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",BHR,Bahrain,2015,2015,59.30616
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",BHR,Bahrain,2016,2016,62.99215
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",BHR,Bahrain,2017,2017,64.26851
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",BHR,Bahrain,2018,2018,67.84063
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",BHR,Bahrain,2019,2019,73.9172
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",BHR,Bahrain,1971,1971,1.51356
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",BHR,Bahrain,1972,1972,1.43224
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",BHR,Bahrain,1973,1973,1.43247
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",BHR,Bahrain,1974,1974,2.2393
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",BHR,Bahrain,1975,1975,2.23843
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",BHR,Bahrain,1976,1976,2.19489
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",BHR,Bahrain,1977,1977,3.52076
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",BHR,Bahrain,1978,1978,3.25162
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",BHR,Bahrain,1979,1979,2.76427
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",BHR,Bahrain,1980,1980,3.22312
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",BHR,Bahrain,1981,1981,4.67865
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",BHR,Bahrain,1982,1982,5.88692
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",BHR,Bahrain,1985,1985,12.1615
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",BHR,Bahrain,1986,1986,12.71715
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",BHR,Bahrain,1987,1987,9.54413
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",BHR,Bahrain,1988,1988,13.29313
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",BHR,Bahrain,1991,1991,17.22944
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",BHR,Bahrain,1992,1992,16.95249
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",BHR,Bahrain,1993,1993,17.55382
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",BHR,Bahrain,1994,1994,16.76971
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",BHR,Bahrain,1995,1995,16.56093
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",BHR,Bahrain,1996,1996,17.60574
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",BHR,Bahrain,1999,1999,21.64746
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",BHR,Bahrain,2003,2003,27.94311
